Palavras,Solucoes
"('-', 't', 'o', 'w', 'w', '-', 'o', 't', '-')",0
"('o', 'o', 'w', 't', '-', '-', '-', 't', 'w')",120
"('o', 't', '-', 'w', 'w', '-', 't', 'o', '-')",36
"('t', '-', '-', 't', '-', 'o', 'o', 'w', 'w')",62
"('o', '-', '-', 'w', 'o', 'w', 't', '-', 't')",33
"('-', 'w', '-', 'w', 'o', 't', 't', '-', 'o')",83
"('t', 'w', '-', '-', 't', 'w', 'o', '-', 'o')",84
"('w', 't', 'o', 'o', '-', 't', '-', '-', 'w')",65
"('o', 't', '-', '-', 'w', 'o', 'w', '-', 't')",68
"('-', 'o', 't', '-', 'o', 't', '-', 'w', 'w')",24
"('t', '-', 'o', 'w', 'w', 'o', '-', 't', '-')",66
"('t', '-', 't', 'w', 'o', '-', 'o', 'w', '-')",45
"('w', 't', '-', 'o', 'w', 'o', 't', '-', '-')",70
"('w', 'w', '-', 't', 't', 'o', '-', '-', 'o')",0
"('-', 'o', 'w', 't', '-', 'o', 'w', '-', 't')",56
"('t', 'w', '-', '-', 'w', 'o', 'o', '-', 't')",62
"('-', '-', 'o', 'w', 'o', 'w', 't', 't', '-')",84
"('t', 't', '-', '-', 'o', 'w', 'w', '-', 'o')",83
"('o', 'w', '-', 't', '-', '-', 'o', 't', 'w')",0
"('-', 't', 'o', 'o', '-', 'w', 't', 'w', '-')",56
"('-', 't', 'o', 'o', '-', '-', 'w', 't', 'w')",0
"('o', 't', 'o', 'w', 'w', 't', '-', '-', '-')",93
"('t', 'o', '-', 'o', '-', 'w', 't', '-', 'w')",0
"('-', 'o', 'o', '-', 'w', 't', 'w', '-', 't')",0
"('w', '-', 'o', '-', 't', '-', 't', 'o', 'w')",51
"('-', 'o', 't', '-', '-', 't', 'w', 'o', 'w')",90
"('-', '-', 'w', 'w', 'o', 't', 't', 'o', '-')",105
"('-', 't', '-', 't', '-', 'w', 'w', 'o', 'o')",93
"('t', '-', 'o', '-', 'o', 'w', 't', '-', 'w')",0
"('-', 't', 'o', 't', 'o', 'w', '-', 'w', '-')",58
"('o', '-', 't', '-', 'w', 'o', 'w', '-', 't')",0
"('w', '-', 't', '-', 'o', 'w', 'o', '-', 't')",0
"('-', 't', 'w', 'o', '-', 'o', 't', '-', 'w')",0
"('t', 'o', '-', 't', 'w', '-', 'w', 'o', '-')",80
"('-', '-', 't', 'o', 'w', 't', 'o', 'w', '-')",0
"('o', 'w', 'o', '-', 't', 'w', '-', 't', '-')",75
"('-', 'w', 't', '-', 'o', 'w', 'o', 't', '-')",48
"('-', 'w', '-', '-', 'w', 't', 't', 'o', 'o')",48
"('w', '-', '-', 't', '-', 'o', 'o', 'w', 't')",72
"('t', '-', 't', 'o', 'w', '-', '-', 'w', 'o')",95
"('t', 'w', 'o', 'o', '-', 't', '-', '-', 'w')",56
"('-', 't', 'w', '-', 'w', 'o', '-', 't', 'o')",960
"('w', 'o', '-', '-', 'o', 't', 'w', 't', '-')",0
"('w', 't', 'w', '-', 'o', 't', '-', '-', 'o')",71
"('o', '-', 't', '-', '-', 'w', 'w', 'o', 't')",0
"('t', 'w', 'o', '-', 't', '-', 'o', '-', 'w')",83
"('-', 'w', 't', 't', 'o', '-', 'o', '-', 'w')",68
"('w', 'o', '-', 't', 'w', 'o', '-', '-', 't')",66
"('-', 'w', '-', 't', '-', 'o', 'o', 't', 'w')",76
"('-', 'w', '-', '-', 'o', 'w', 't', 't', 'o')",62
"('o', '-', 't', 't', '-', '-', 'w', 'o', 'w')",28
"('w', '-', 'o', 't', '-', 'w', 't', 'o', '-')",0
"('t', '-', 'o', 'w', '-', '-', 't', 'w', 'o')",0
"('o', '-', 'w', 'w', 't', '-', 't', '-', 'o')",69
"('t', '-', 'w', 't', '-', 'w', 'o', '-', 'o')",48
"('w', '-', '-', 'o', 'o', 't', 't', '-', 'w')",72
"('o', 't', 't', 'w', 'w', '-', '-', '-', 'o')",66
"('t', '-', 'o', '-', 't', 'w', 'w', '-', 'o')",0
"('-', 'o', '-', 'o', 't', '-', 't', 'w', 'w')",52
"('w', '-', 'o', 't', '-', 't', 'w', '-', 'o')",0
"('o', '-', '-', '-', 't', 'w', 'w', 't', 'o')",75
"('t', 'o', 'w', 'w', 't', '-', '-', 'o', '-')",0
"('w', '-', '-', 'o', 't', 'w', 't', '-', 'o')",69
"('-', '-', 'w', 't', '-', 'w', 'o', 't', 'o')",58
"('-', 't', 'w', 't', '-', 'w', 'o', 'o', '-')",53
"('t', '-', '-', '-', 'o', 't', 'w', 'w', 'o')",75
"('-', 't', 'w', 'w', 't', '-', '-', 'o', 'o')",68
"('w', 't', '-', 'w', '-', 'o', '-', 't', 'o')",0
"('t', 'w', 'o', '-', '-', 'o', 'w', '-', 't')",51
"('t', 'o', '-', '-', 'w', 'w', 'o', 't', '-')",44
"('o', 'w', 't', 'o', '-', 't', '-', '-', 'w')",68
"('o', '-', 'w', 'w', '-', 'o', 't', 't', '-')",32
"('o', '-', '-', 't', 't', '-', 'o', 'w', 'w')",0
"('t', '-', 'o', '-', 'w', 't', 'o', '-', 'w')",86
"('-', '-', 'o', 'o', 'w', 't', 't', '-', 'w')",86
"('w', 'w', 't', '-', 't', 'o', 'o', '-', '-')",79
"('-', '-', 't', '-', 't', 'w', 'w', 'o', 'o')",48
"('-', '-', '-', 'o', 'o', 'w', 't', 'w', 't')",67
"('t', '-', 'w', 'w', '-', '-', 't', 'o', 'o')",0
"('-', 'w', 'o', 't', 'w', 't', '-', 'o', '-')",57
"('-', 'o', 'w', '-', 't', 'o', '-', 't', 'w')",960
"('o', 't', '-', '-', 'w', '-', 'o', 't', 'w')",0
"('-', 't', 'w', '-', 'o', 'o', 'w', '-', 't')",82
"('-', 'o', '-', 't', 't', 'o', '-', 'w', 'w')",36
"('-', 'o', '-', 'o', 'w', 't', 'w', '-', 't')",120
"('o', '-', 'o', 't', 'w', '-', '-', 'w', 't')",95
"('o', '-', 't', 'w', '-', 'o', '-', 't', 'w')",64
"('o', 'o', '-', 'w', '-', 'w', '-', 't', 't')",99
"('-', 'o', '-', 'w', 'o', 't', 't', '-', 'w')",62
"('-', '-', 'w', 'o', 't', '-', 'o', 't', 'w')",0
"('t', 't', 'o', '-', 'o', 'w', '-', 'w', '-')",58
"('-', 't', 'o', 'o', '-', 't', '-', 'w', 'w')",21
"('-', 'w', '-', 'o', '-', 't', 'w', 't', 'o')",51
"('o', '-', 'w', 'o', '-', 'w', '-', 't', 't')",60
"('w', 'w', '-', 't', 't', '-', 'o', '-', 'o')",20
"('-', 'o', 't', '-', 'w', 't', 'w', '-', 'o')",62
"('-', 't', '-', 'w', 'w', 't', 'o', 'o', '-')",33
"('-', 't', '-', 'w', '-', 'o', 'w', 'o', 't')",0
"('t', 'o', '-', '-', 't', 'o', 'w', '-', 'w')",84
"('w', 'o', 'o', '-', 't', '-', 't', '-', 'w')",46
"('o', '-', 'w', 't', 'o', 'w', '-', '-', 't')",57
"('w', '-', '-', '-', 'o', 't', 'w', 't', 'o')",0
"('o', 'w', 'w', 't', 'o', '-', 't', '-', '-')",0
"('w', '-', '-', 'o', 't', 'o', '-', 'w', 't')",77
"('t', 'w', '-', 'o', 't', '-', 'o', '-', 'w')",0
"('o', '-', '-', 't', 'w', 'o', 'w', 't', '-')",45
"('-', 'o', 'o', '-', 'w', 't', 't', 'w', '-')",90
"('t', '-', '-', 't', 'o', 'w', '-', 'w', 'o')",77
"('-', '-', 'o', 't', '-', 'w', 't', 'w', 'o')",0
"('t', 't', 'o', 'w', 'o', '-', 'w', '-', '-')",0
"('-', 't', 'o', 't', '-', 'w', 'o', 'w', '-')",63
"('-', 'w', 'w', 't', 'o', 'o', '-', '-', 't')",28
"('-', 'w', 't', 'o', 't', 'o', '-', '-', 'w')",71
"('o', 'w', 'o', 't', '-', 'w', '-', '-', 't')",65
"('t', 'w', 't', 'o', '-', '-', '-', 'w', 'o')",95
"('o', '-', 'w', '-', '-', 't', 'o', 'w', 't')",0
"('-', '-', 'o', 'w', 'w', 't', 'o', '-', 't')",0
"('t', 'o', '-', 'w', '-', 'o', 't', '-', 'w')",0
"('t', 't', 'o', 'w', 'w', '-', '-', '-', 'o')",0
"('-', 'w', 'w', '-', 'o', 'o', 't', 't', '-')",20
"('t', 'w', 'o', 't', 'w', '-', '-', 'o', '-')",54
"('-', '-', 'w', 'o', 'o', 't', '-', 'w', 't')",90
"('w', '-', 'o', 't', '-', 'w', 'o', 't', '-')",86
"('o', '-', 't', 'w', '-', 'o', 'w', '-', 't')",0
"('-', 't', 'w', '-', 'o', 'w', '-', 'o', 't')",0
"('-', 'o', '-', 'o', '-', 'w', 't', 'w', 't')",67
"('-', '-', 'w', '-', 'o', 't', 't', 'o', 'w')",0
"('o', '-', 't', 'w', 'o', '-', 'w', 't', '-')",0
"('-', 't', 'o', 'o', '-', 'w', '-', 'w', 't')",72
"('o', 't', 'o', 't', 'w', '-', '-', 'w', '-')",0
"('t', 'w', 't', 'o', '-', 'o', 'w', '-', '-')",48
"('o', '-', 'w', 't', '-', '-', 'o', 'w', 't')",0
"('w', '-', 't', '-', '-', 'w', 't', 'o', 'o')",74
"('-', 'w', '-', '-', 't', 'o', 'o', 't', 'w')",0
"('t', 'o', 'w', 'w', '-', 't', 'o', '-', '-')",48
"('t', '-', 'w', 't', 'o', '-', 'w', '-', 'o')",80
"('t', '-', 'w', 'w', '-', 'o', '-', 'o', 't')",64
"('w', '-', 'w', 't', 'o', 'o', '-', '-', 't')",65
"('-', 'w', '-', 'o', 'w', '-', 't', 't', 'o')",38
"('o', 'o', 'w', '-', 't', '-', '-', 't', 'w')",0
"('w', '-', 'o', 'w', '-', 't', 't', 'o', '-')",72
"('w', '-', '-', 't', 't', 'w', '-', 'o', 'o')",99
"('o', '-', 'w', 'w', 't', 't', 'o', '-', '-')",0
"('w', 't', '-', 't', '-', 'o', 'w', 'o', '-')",0
"('w', 'o', '-', '-', '-', 'w', 't', 't', 'o')",75
"('w', 'o', 'o', 't', '-', 't', '-', '-', 'w')",65
"('t', 't', '-', 'o', 'w', 'o', 'w', '-', '-')",70
"('-', 'w', 'o', 't', '-', 'w', '-', 'o', 't')",54
"('t', '-', 'w', 'o', '-', 't', 'o', '-', 'w')",0
"('w', 't', '-', '-', 'o', '-', 'o', 'w', 't')",52
"('w', 'o', 'w', 't', '-', 't', 'o', '-', '-')",48
"('w', '-', 't', 't', 'w', '-', '-', 'o', 'o')",99
"('-', '-', '-', 'w', 'o', 'o', 't', 't', 'w')",71
"('w', 't', '-', '-', 'o', 't', '-', 'o', 'w')",75
"('t', 't', 'o', 'o', 'w', '-', '-', 'w', '-')",0
"('w', 'o', 'o', 'w', '-', '-', 't', 't', '-')",56
"('t', 'w', '-', '-', 'o', 't', 'o', '-', 'w')",68
"('w', '-', 'o', 'w', '-', 't', '-', 'o', 't')",100
"('w', '-', 'w', '-', 'o', 't', 'o', 't', '-')",56
"('-', 'w', 'w', 'o', 't', 'o', '-', '-', 't')",71
"('w', 'w', '-', '-', '-', 't', 'o', 't', 'o')",67
"('w', '-', 't', 'w', 'o', 't', '-', '-', 'o')",68
"('w', '-', 'o', 't', 'w', 't', '-', '-', 'o')",0
"('-', 'o', '-', '-', 't', 'w', 't', 'w', 'o')",62
"('o', 't', '-', 'w', '-', 'w', '-', 'o', 't')",77
"('-', '-', 'o', 'w', 'o', 't', 'w', '-', 't')",0
"('t', 't', 'w', '-', 'o', '-', '-', 'w', 'o')",52
"('-', 'w', 'w', '-', 'o', '-', 't', 't', 'o')",62
"('t', 'o', 'w', 't', 'o', '-', '-', 'w', '-')",54
"('o', '-', '-', 't', 't', 'o', 'w', '-', 'w')",33
"('-', 't', 'w', '-', '-', 't', 'w', 'o', 'o')",48
"('o', '-', 'w', '-', '-', 't', 'w', 't', 'o')",82
"('-', '-', 'w', 't', '-', 'o', 'w', 't', 'o')",0
"('t', 'w', '-', 't', 'o', 'w', '-', '-', 'o')",70
"('-', 't', 'o', 'w', '-', 'w', 't', '-', 'o')",0
"('-', 'o', 'w', 'w', '-', 't', 't', '-', 'o')",86
"('w', '-', 't', 'w', '-', '-', 't', 'o', 'o')",62
"('t', '-', 'o', 'w', 'w', 't', 'o', '-', '-')",86
"('w', '-', '-', 'w', 't', 'o', 't', '-', 'o')",120
"('o', 'w', 't', 'o', '-', '-', '-', 'w', 't')",0
"('-', '-', 't', '-', 'o', 'o', 'w', 'w', 't')",0
"('-', 't', 'w', 'o', 't', '-', 'w', 'o', '-')",76
"('w', '-', '-', '-', 'o', 'o', 't', 'w', 't')",62
"('t', '-', 'w', '-', 'o', 'o', '-', 'w', 't')",54
"('o', '-', 't', '-', '-', 'w', 'o', 't', 'w')",0
"('w', 'o', 'w', '-', '-', 'o', 't', '-', 't')",36
"('w', 't', '-', '-', '-', 't', 'w', 'o', 'o')",0
"('-', 't', '-', 'w', 'o', '-', 'o', 'w', 't')",52
"('o', '-', 'w', '-', 'w', '-', 't', 'o', 't')",62
"('o', '-', 't', '-', 'w', 'w', 'o', '-', 't')",0
"('-', 'o', 'w', 't', 't', '-', 'o', '-', 'w')",120
"('o', 't', '-', 'o', 'w', '-', 't', '-', 'w')",72
"('t', 'w', 't', '-', '-', 'w', 'o', 'o', '-')",84
"('w', 'o', 't', 'w', 'o', '-', '-', 't', '-')",54
"('o', 'w', '-', 'o', 't', '-', '-', 'w', 't')",0
"('-', 't', 'w', 'o', 'w', '-', 't', 'o', '-')",44
"('w', 'w', 'o', 'o', 't', '-', '-', 't', '-')",0
"('-', '-', 'o', 't', 'w', 't', 'o', '-', 'w')",86
"('-', 't', 'o', 't', 'o', '-', 'w', '-', 'w')",84
"('-', 'o', 'w', 'w', 'o', '-', 't', 't', '-')",74
"('w', 't', 'o', '-', '-', 't', 'w', 'o', '-')",0
"('w', '-', 'o', 't', 't', 'w', 'o', '-', '-')",86
"('w', 't', 'o', 'w', 'o', '-', '-', '-', 't')",70
"('o', '-', 'o', 't', 'w', 't', '-', 'w', '-')",0
"('-', '-', 'o', '-', 't', 'w', 'w', 'o', 't')",80
"('t', 't', 'o', '-', 'w', 'w', '-', '-', 'o')",0
"('t', 'w', 'o', 'w', '-', 't', '-', '-', 'o')",0
"('o', '-', 'w', 't', '-', 'o', 'w', 't', '-')",86
"('-', '-', 'w', 'o', 'w', 'o', 't', 't', '-')",84
"('t', 'w', 'w', '-', 'o', 't', 'o', '-', '-')",69
"('o', 'o', 't', '-', '-', 'w', 't', '-', 'w')",0
"('-', 'o', 'w', 'w', 't', '-', 'o', 't', '-')",65
"('o', '-', '-', 't', 'o', 'w', '-', 'w', 't')",54
"('-', 't', 'o', 'w', 'w', '-', 't', '-', 'o')",120
"('t', '-', 'w', 'o', 'o', 't', 'w', '-', '-')",86
"('t', '-', 't', '-', 'o', '-', 'w', 'o', 'w')",0
"('-', 'w', 't', 't', '-', 'o', '-', 'w', 'o')",0
"('w', 'o', '-', 'w', 't', '-', 'o', '-', 't')",72
"('-', 'w', 't', '-', 'o', 'w', '-', 't', 'o')",24
"('t', 't', 'w', 'o', 'w', '-', 'o', '-', '-')",0
"('w', 'o', '-', 'w', '-', 't', 'o', '-', 't')",120
"('-', '-', '-', 'o', 'o', 't', 'w', 'w', 't')",0
"('w', '-', '-', 'w', '-', 't', 'o', 't', 'o')",52
"('w', '-', 'o', 'w', 'o', 't', 't', '-', '-')",69
"('o', 't', '-', 'w', '-', 't', 'o', '-', 'w')",0
"('-', 'w', 'o', 't', 'o', 't', '-', '-', 'w')",71
"('-', 'o', 'o', 'w', '-', 'w', '-', 't', 't')",21
"('t', 'w', 'o', 'o', '-', '-', 't', 'w', '-')",0
"('t', 'w', 'o', '-', '-', 'w', '-', 't', 'o')",0
"('t', 'w', '-', 'w', 'o', 't', '-', 'o', '-')",0
"('o', 'w', 't', 'o', '-', 'w', '-', 't', '-')",58
"('t', 'o', '-', 'w', 't', '-', 'o', '-', 'w')",62
"('-', '-', '-', 'o', 't', 'w', 't', 'o', 'w')",105
"('-', 't', '-', 'w', 'w', 't', '-', 'o', 'o')",36
"('-', '-', 'w', 't', 'o', 't', '-', 'o', 'w')",0
"('w', 'w', 'o', 't', 'o', '-', '-', 't', '-')",56
"('w', 't', 't', 'o', '-', '-', '-', 'o', 'w')",50
"('-', 'o', '-', '-', 'w', 'w', 't', 't', 'o')",62
"('w', 'w', 'o', 't', 'o', 't', '-', '-', '-')",93
"('-', '-', '-', 't', 'o', 'w', 'w', 't', 'o')",76
"('-', 't', 'w', 'o', '-', 'w', '-', 'o', 't')",63
"('o', '-', 'w', 'o', 't', 't', '-', '-', 'w')",0
"('-', 't', 'w', 't', '-', 'o', 'o', '-', 'w')",0
"('-', '-', 'o', 't', '-', 'o', 'w', 'w', 't')",46
"('-', '-', 'w', '-', 't', 'o', 'w', 'o', 't')",80
"('w', '-', 'o', '-', 'o', 't', '-', 't', 'w')",54
"('w', 'o', 't', '-', '-', '-', 'o', 't', 'w')",51
"('o', 'w', '-', 'w', 'o', '-', 't', '-', 't')",20
"('w', 'w', 't', 'o', '-', '-', 'o', 't', '-')",0
"('-', 'o', 'w', 'w', 'o', 't', '-', '-', 't')",0
"('t', '-', 'o', 't', '-', '-', 'w', 'o', 'w')",52
"('-', 'o', 'w', 't', 't', '-', 'w', '-', 'o')",83
"('o', '-', '-', 't', 'o', 'w', 't', 'w', '-')",0
"('-', '-', '-', 'o', 'o', 'w', 'w', 't', 't')",93
"('-', 'o', '-', 'o', '-', 'w', 'w', 't', 't')",93
"('w', '-', 'w', 'o', 't', 't', '-', '-', 'o')",65
"('t', '-', 'o', 'w', 't', '-', 'w', 'o', '-')",0
"('-', 'w', 'w', '-', '-', 'o', 't', 'o', 't')",52
"('w', 't', '-', 'o', '-', '-', 'w', 'o', 't')",0
"('-', 'o', 't', 't', 'w', '-', '-', 'w', 'o')",0
"('w', 'w', 'o', 'o', '-', '-', 't', '-', 't')",33
"('w', '-', '-', 'o', '-', 'w', 't', 'o', 't')",28
"('o', 'w', 'o', '-', '-', '-', 't', 'w', 't')",0
"('t', '-', 'o', 'o', 't', 'w', 'w', '-', '-')",86
"('t', '-', 'o', 'o', '-', 't', 'w', '-', 'w')",200
"('t', '-', 'w', '-', 'w', 'o', 't', 'o', '-')",0
"('-', 'o', 'w', 't', '-', '-', 'o', 't', 'w')",105
"('-', '-', 't', 't', '-', 'o', 'o', 'w', 'w')",74
"('-', '-', 'w', 'w', 'o', 't', '-', 'o', 't')",0
"('o', '-', 't', 'o', '-', 't', 'w', '-', 'w')",48
"('t', 'o', '-', '-', 'w', 't', 'o', '-', 'w')",68
"('-', '-', 'o', 't', 't', '-', 'w', 'o', 'w')",67
"('o', '-', '-', 'w', '-', 't', 't', 'w', 'o')",72
"('-', 'w', '-', 't', 'o', 't', 'o', 'w', '-')",65
"('w', 'w', 't', 'o', '-', '-', 'o', '-', 't')",0
"('o', 't', '-', 'o', 't', 'w', '-', 'w', '-')",54
"('w', '-', '-', 'w', 'o', 't', 't', 'o', '-')",85
"('t', '-', 't', 'o', 'w', 'w', '-', 'o', '-')",58
"('o', 'w', 'w', 't', 't', '-', 'o', '-', '-')",0
"('w', 'w', '-', 't', '-', 'o', 't', 'o', '-')",0
"('-', 'o', 'w', 'o', '-', '-', 't', 'w', 't')",67
"('t', 'w', 't', '-', 'o', '-', '-', 'w', 'o')",0
"('-', '-', '-', 'w', 't', 'o', 'w', 't', 'o')",0
"('t', 'w', '-', '-', '-', 'o', 'w', 't', 'o')",105
"('-', 't', 'o', 'w', 't', 'o', '-', '-', 'w')",48
"('t', 't', 'o', '-', '-', 'w', 'w', '-', 'o')",0
"('t', 'o', 'w', '-', '-', 't', '-', 'w', 'o')",72
"('-', 'w', 'o', 'o', 'w', '-', '-', 't', 't')",68
"('-', 'o', 'o', '-', 't', '-', 'w', 't', 'w')",60
"('-', 'o', '-', 't', 'w', 'w', '-', 'o', 't')",75
"('-', 'o', 'w', '-', '-', 't', 't', 'o', 'w')",0
"('-', 'w', '-', 'o', '-', 'w', 'o', 't', 't')",0
"('o', '-', 't', 'o', 'w', '-', 't', '-', 'w')",80
"('t', 'w', 't', 'o', '-', '-', 'o', '-', 'w')",0
"('o', 't', 'w', '-', '-', 't', '-', 'o', 'w')",0
"('t', 'o', 'o', 't', 'w', 'w', '-', '-', '-')",30
"('-', 'w', 't', '-', 'w', 'o', 'o', '-', 't')",0
"('o', 'w', 'w', 't', 'o', 't', '-', '-', '-')",93
"('w', 'w', '-', '-', 't', 'o', 'o', '-', 't')",83
"('-', 'w', 'w', '-', 't', 'o', 't', '-', 'o')",0
"('o', 't', '-', 'w', '-', 'o', '-', 'w', 't')",77
"('-', 'w', 'o', '-', 't', 'w', 'o', '-', 't')",82
"('t', '-', 'o', 't', '-', 'o', 'w', 'w', '-')",50
"('-', 't', 'o', 'o', 'w', '-', 'w', 't', '-')",65
"('w', 'o', 't', '-', 'w', 't', '-', '-', 'o')",73
"('t', 'w', '-', 't', '-', 'w', 'o', 'o', '-')",56
"('-', 'o', 't', 'w', '-', 'w', 'o', '-', 't')",0
"('w', 't', 'w', 't', '-', 'o', 'o', '-', '-')",86
"('w', '-', 'o', 'w', '-', '-', 't', 't', 'o')",120
"('-', '-', 'o', 't', 'w', 'o', 'w', '-', 't')",51
"('t', 't', 'o', 'w', 'w', 'o', '-', '-', '-')",42
