,palavra,solucao
35,"['-', 'm', 'e', 'o', '-', 'n', 'm', 'n', '-', '-', 'o', 'e', 'e']",0.0
36,"['-', 'o', 'e', 'm', '-', 'e', 'n', '-', 'm', 'n', '-', 'e', 'o']",28.0
37,"['m', '-', '-', 'e', '-', 'o', 'e', '-', 'o', 'm', 'n', 'n', 'e']",0.0
38,"['-', 'o', '-', 'e', '-', 'e', '-', 'n', 'o', 'e', 'm', 'm', 'n']",36.0
39,"['-', 'o', '-', 'm', '-', 'n', 'o', 'e', 'm', 'e', 'e', 'n', '-']",6.0
40,"['m', 'o', '-', 'n', '-', 'e', 'e', '-', 'e', 'o', '-', 'm', 'n']",18.0
41,"['e', 'e', '-', 'n', 'o', 'm', 'e', 'o', '-', '-', 'n', 'm', '-']",15.0
42,"['n', '-', 'o', 'n', '-', 'e', '-', 'o', 'e', 'e', '-', 'm', 'm']",10.0
43,"['e', 'n', 'm', 'e', '-', 'n', 'o', '-', 'e', 'o', 'm', '-', '-']",0.0
44,"['-', 'n', 'o', 'm', '-', '-', '-', 'e', 'm', 'e', 'e', 'n', 'o']",4.0
45,"['n', 'm', 'o', 'm', 'e', 'e', '-', 'e', '-', '-', '-', 'n', 'o']",7.0
46,"['m', 'n', 'e', '-', 'e', '-', 'o', 'o', '-', 'm', '-', 'n', 'e']",18.0
47,"['-', 'm', '-', 'o', '-', 'e', 'e', '-', 'm', 'e', 'o', 'n', 'n']",18.0
48,"['-', '-', 'm', '-', 'e', 'o', 'o', 'm', 'e', '-', 'e', 'n', 'n']",2.0
49,"['-', 'e', 'm', 'e', 'n', 'm', 'o', '-', 'o', '-', '-', 'n', 'e']",18.0
50,"['o', '-', 'e', '-', 'n', 'm', 'e', 'e', 'n', 'm', '-', 'o', '-']",0.0
51,"['e', 'e', 'o', '-', 'm', '-', 'n', 'm', 'n', 'o', '-', '-', 'e']",7.0
52,"['o', 'm', 'e', '-', '-', '-', 'n', 'o', 'm', 'e', 'e', 'n', '-']",33.0
53,"['-', 'o', '-', 'n', 'm', 'e', 'm', 'e', '-', '-', 'e', 'o', 'n']",0.0
54,"['n', '-', 'n', 'm', 'o', 'e', 'o', 'e', '-', 'e', '-', '-', 'm']",0.0
55,"['e', '-', 'e', '-', 'o', 'n', 'm', 'e', 'm', '-', 'o', '-', 'n']",14.0
56,"['o', 'e', 'm', 'e', 'e', 'n', 'o', '-', '-', '-', 'n', '-', 'm']",0.0
57,"['-', 'o', '-', 'e', 'm', 'e', '-', '-', 'e', 'm', 'o', 'n', 'n']",0.0
58,"['o', 'm', 'm', '-', 'o', 'e', 'n', '-', '-', 'n', 'e', 'e', '-']",18.0
59,"['e', 'm', 'n', 'o', 'e', '-', 'e', '-', 'o', '-', '-', 'm', 'n']",15.0
60,"['n', 'm', 'n', '-', '-', 'e', '-', '-', 'e', 'o', 'o', 'e', 'm']",14.0
61,"['e', 'n', 'e', '-', '-', 'o', 'm', 'm', 'n', 'e', '-', '-', 'o']",2.0
62,"['n', '-', 'n', 'e', 'm', 'o', 'm', 'o', '-', 'e', '-', '-', 'e']",0.0
63,"['e', '-', 'm', '-', '-', 'o', 'n', 'e', 'm', '-', 'e', 'n', 'o']",0.0
64,"['e', 'e', 'n', '-', '-', 'e', 'm', 'm', 'o', 'n', '-', '-', 'o']",12.0
65,"['-', 'n', 'e', 'm', 'n', '-', 'm', '-', 'e', 'o', 'e', 'o', '-']",8.0
66,"['m', '-', '-', 'e', 'e', '-', 'o', 'm', 'n', 'n', 'e', '-', 'o']",20.0
67,"['e', '-', 'n', '-', 'm', 'n', 'o', '-', 'o', 'e', 'm', 'e', '-']",0.0
68,"['e', '-', '-', '-', 'o', 'n', 'e', 'm', 'e', '-', 'o', 'n', 'm']",0.0
69,"['n', '-', '-', 'm', 'o', 'e', 'e', 'o', '-', 'm', 'n', 'e', '-']",22.0
70,"['o', 'e', 'n', 'e', 'e', '-', '-', 'm', '-', '-', 'n', 'o', 'm']",0.0
71,"['n', '-', 'e', 'e', 'm', 'n', '-', '-', 'm', 'e', '-', 'o', 'o']",0.0
72,"['-', 'e', 'o', 'o', 'n', 'n', '-', 'm', '-', 'm', '-', 'e', 'e']",5.0
73,"['e', '-', 'o', '-', 'e', 'm', 'm', 'e', 'n', 'n', 'o', '-', '-']",9.0
74,"['-', 'o', 'm', 'e', 'n', 'm', 'o', 'n', 'e', '-', '-', 'e', '-']",6.0
75,"['o', '-', 'm', '-', '-', 'o', 'n', '-', 'n', 'e', 'm', 'e', 'e']",4.0
76,"['e', 'o', 'm', '-', 'n', 'e', '-', 'e', 'n', '-', 'm', '-', 'o']",2.0
77,"['n', 'o', 'e', '-', 'm', '-', 'e', 'm', 'o', '-', '-', 'n', 'e']",17.0
78,"['-', '-', 'e', 'o', 'n', 'm', 'e', 'e', '-', 'n', 'm', 'o', '-']",0.0
79,"['-', '-', 'e', 'e', 'o', '-', 'm', 'n', 'e', 'o', 'm', '-', 'n']",0.0
80,"['e', 'm', '-', '-', 'o', '-', 'e', 'n', 'e', 'n', 'o', 'm', '-']",0.0
81,"['-', '-', 'e', 'e', '-', '-', 'e', 'o', 'n', 'm', 'm', 'o', 'n']",0.0
82,"['-', 'e', 'e', 'e', 'o', '-', 'n', 'm', '-', 'm', 'o', '-', 'n']",20.0
83,"['-', 'o', 'o', 'm', '-', 'e', 'n', 'e', '-', 'm', 'n', 'e', '-']",0.0
84,"['e', 'o', '-', 'n', 'm', '-', 'm', '-', 'o', '-', 'e', 'n', 'e']",13.0
85,"['o', 'n', 'n', 'e', 'm', '-', '-', 'e', 'e', '-', 'm', 'o', '-']",14.0
86,"['n', 'o', 'm', '-', 'n', 'e', 'o', '-', '-', 'e', 'm', '-', 'e']",16.0
87,"['m', 'n', 'o', 'e', '-', '-', '-', 'e', 'm', 'e', '-', 'n', 'o']",0.0
88,"['e', 'e', 'o', '-', 'o', 'e', '-', 'n', '-', 'm', 'm', 'n', '-']",6.0
89,"['-', '-', 'n', 'm', 'o', 'n', 'm', '-', '-', 'e', 'e', 'e', 'o']",1.0
90,"['m', 'e', 'o', '-', '-', 'e', '-', 'o', 'e', '-', 'n', 'm', 'n']",10.0
91,"['o', 'e', '-', 'e', 'n', 'm', 'n', 'e', 'o', '-', 'm', '-', '-']",0.0
92,"['o', '-', '-', 'e', 'm', 'e', 'o', 'n', '-', 'e', 'm', 'n', '-']",15.0
93,"['n', 'o', 'n', 'o', '-', 'e', 'e', '-', '-', 'm', 'm', 'e', '-']",4.0
94,"['e', 'n', '-', 'e', 'e', 'o', 'n', 'm', '-', 'm', '-', '-', 'o']",3.0
95,"['e', 'o', '-', '-', 'e', 'e', '-', '-', 'n', 'n', 'm', 'o', 'm']",20.0
96,"['e', 'o', 'n', 'e', '-', '-', 'e', '-', 'm', 'n', 'm', 'o', '-']",9.0
97,"['m', 'e', 'o', 'e', '-', 'o', '-', 'e', 'n', '-', 'm', '-', 'n']",0.0
98,"['m', 'o', '-', '-', '-', 'e', 'n', 'e', 'o', '-', 'e', 'm', 'n']",0.0
99,"['o', 'e', 'o', '-', 'n', '-', 'm', '-', '-', 'e', 'n', 'e', 'm']",0.0
100,"['n', 'e', 'e', '-', 'e', '-', 'n', 'o', 'm', 'o', '-', 'm', '-']",10.0
101,"['e', 'e', '-', '-', 'e', 'n', 'o', 'o', 'm', 'm', '-', '-', 'n']",6.0
102,"['m', 'e', '-', 'n', 'o', 'e', '-', 'm', '-', 'e', '-', 'o', 'n']",0.0
103,"['-', 'n', 'e', 'n', 'e', '-', '-', '-', 'm', 'o', 'm', 'o', 'e']",1.0
104,"['o', '-', '-', 'e', 'n', 'm', 'n', 'o', '-', 'e', 'm', '-', 'e']",0.0
105,"['-', 'm', 'm', 'n', '-', 'n', 'o', '-', 'o', 'e', '-', 'e', 'e']",14.0
106,"['-', 'e', '-', '-', 'e', 'e', 'n', 'n', '-', 'o', 'm', 'o', 'm']",7.0
107,"['e', 'n', 'o', 'm', '-', '-', 'e', 'm', '-', 'e', 'o', '-', 'n']",13.0
108,"['e', '-', 'o', '-', 'e', 'm', 'n', 'm', '-', 'e', '-', 'n', 'o']",0.0
109,"['-', 'o', 'e', 'o', 'e', 'e', 'n', 'n', '-', '-', 'm', '-', 'm']",16.0
110,"['o', '-', 'o', 'e', '-', 'n', 'e', '-', '-', 'n', 'm', 'm', 'e']",18.0
111,"['e', '-', 'o', 'e', 'n', 'o', 'm', '-', '-', 'm', 'e', 'n', '-']",5.0
112,"['n', 'm', 'o', '-', '-', 'm', '-', 'n', 'e', 'o', 'e', '-', 'e']",21.0
113,"['e', 'o', 'n', 'n', 'm', 'e', '-', 'm', '-', '-', 'e', '-', 'o']",19.0
114,"['n', 'n', '-', '-', 'o', 'e', '-', 'm', 'o', 'm', 'e', '-', 'e']",0.0
115,"['-', 'm', 'e', 'e', 'e', '-', 'n', '-', 'n', 'm', '-', 'o', 'o']",2.0
116,"['n', '-', 'e', 'n', '-', 'e', '-', 'e', 'o', 'm', 'o', 'm', '-']",4.0
117,"['m', '-', 'e', 'o', '-', '-', 'o', 'm', '-', 'n', 'e', 'e', 'n']",18.0
118,"['o', 'm', 'e', '-', 'n', 'e', 'o', 'e', '-', '-', '-', 'n', 'm']",12.0
119,"['-', 'e', 'n', '-', '-', 'o', 'e', 'o', '-', 'm', 'e', 'm', 'n']",22.0
120,"['e', 'e', '-', 'm', '-', 'n', '-', 'm', 'o', 'o', '-', 'n', 'e']",36.0
121,"['o', 'm', 'n', '-', '-', 'e', 'o', '-', '-', 'e', 'e', 'm', 'n']",0.0
122,"['e', 'o', 'o', 'e', 'n', 'm', 'n', '-', '-', 'e', '-', '-', 'm']",4.0
123,"['n', 'm', 'n', 'o', '-', '-', 'e', 'o', 'e', '-', '-', 'm', 'e']",0.0
124,"['-', 'm', '-', 'e', 'm', 'o', 'n', 'e', 'o', 'n', '-', '-', 'e']",17.0
125,"['o', 'e', '-', '-', 'm', 'o', 'e', 'e', 'n', 'n', '-', '-', 'm']",17.0
126,"['e', 'm', 'm', '-', 'e', 'n', '-', 'n', 'e', 'o', '-', '-', 'o']",0.0
127,"['n', 'e', '-', 'n', '-', 'm', 'e', '-', 'e', 'o', 'm', '-', 'o']",0.0
128,"['-', '-', 'e', 'n', 'o', 'm', 'e', '-', '-', 'n', 'm', 'o', 'e']",9.0
129,"['-', 'o', 'o', 'n', 'e', 'e', 'e', '-', 'n', '-', 'm', 'm', '-']",56.0
130,"['e', 'o', 'o', '-', 'e', 'e', 'm', 'n', 'm', '-', 'n', '-', '-']",8.0
131,"['-', '-', 'e', '-', 'm', 'o', 'n', 'o', 'e', 'n', 'e', 'm', '-']",17.0
132,"['-', 'e', 'm', '-', 'n', 'e', 'e', '-', 'n', '-', 'm', 'o', 'o']",2.0
133,"['m', 'e', '-', '-', 'e', 'o', 'e', 'o', 'm', 'n', '-', 'n', '-']",2.0
134,"['n', 'm', 'e', '-', 'o', '-', 'e', '-', 'n', 'm', 'e', '-', 'o']",2.0
135,"['e', 'o', '-', 'o', '-', 'm', 'e', 'n', '-', 'm', '-', 'e', 'n']",0.0
136,"['-', 'o', '-', 'n', '-', '-', 'e', 'm', 'e', 'e', 'n', 'o', 'm']",36.0
137,"['e', 'o', 'n', '-', 'm', '-', '-', 'o', 'n', '-', 'e', 'm', 'e']",0.0
138,"['e', 'o', 'n', 'n', 'e', 'o', '-', '-', 'm', '-', 'm', '-', 'e']",13.0
139,"['e', 'm', 'm', '-', '-', '-', 'e', '-', 'o', 'n', 'o', 'n', 'e']",0.0
140,"['o', 'e', '-', 'm', 'n', 'n', '-', '-', 'o', '-', 'e', 'e', 'm']",0.0
141,"['-', '-', 'm', '-', 'm', 'n', 'e', 'o', 'n', 'e', '-', 'e', 'o']",0.0
142,"['e', 'n', '-', '-', 'e', '-', 'm', 'e', 'o', 'o', '-', 'm', 'n']",27.0
143,"['o', 'e', 'n', '-', '-', '-', 'n', 'e', 'o', 'm', 'm', '-', 'e']",0.0
144,"['e', 'o', '-', 'e', '-', 'm', 'e', 'o', 'n', 'n', '-', '-', 'm']",18.0
145,"['-', 'e', 'o', 'm', 'n', 'n', 'e', 'e', '-', 'm', '-', '-', 'o']",12.0
146,"['-', 'm', '-', 'e', '-', 'o', 'e', '-', 'm', 'n', 'e', 'o', 'n']",12.0
147,"['-', 'n', '-', 'o', 'e', 'n', 'm', 'm', '-', 'e', '-', 'e', 'o']",0.0
148,"['-', 'm', 'e', 'n', 'o', '-', 'm', 'e', '-', 'e', 'n', 'o', '-']",6.0
149,"['m', 'm', 'e', 'o', 'e', '-', 'e', 'n', '-', 'n', '-', '-', 'o']",30.0
150,"['-', 'm', 'n', '-', '-', '-', 'n', 'e', 'o', 'm', 'e', 'e', 'o']",8.0
151,"['o', 'e', 'n', 'e', '-', 'm', 'n', '-', 'e', '-', 'o', '-', 'm']",13.0
152,"['n', 'm', '-', '-', 'o', 'o', 'e', '-', 'e', 'e', 'm', '-', 'n']",0.0
153,"['-', 'e', 'o', '-', '-', 'n', 'm', 'm', 'n', 'e', 'o', '-', 'e']",14.0
154,"['-', 'o', 'e', 'o', 'e', 'm', 'm', '-', 'n', 'n', '-', '-', 'e']",16.0
155,"['-', 'e', 'e', 'n', 'm', 'o', '-', 'o', 'm', 'n', 'e', '-', '-']",0.0
156,"['-', '-', 'n', 'n', 'e', 'o', 'e', '-', '-', 'o', 'm', 'e', 'm']",22.0
157,"['-', 'e', '-', '-', 'e', '-', 'n', 'o', 'o', 'n', 'm', 'm', 'e']",7.0
158,"['n', 'o', 'm', 'e', 'm', 'o', '-', 'e', 'n', '-', 'e', '-', '-']",0.0
159,"['-', '-', 'e', 'm', '-', 'e', '-', 'o', 'o', 'e', 'n', 'm', 'n']",14.0
160,"['-', 'm', 'n', '-', 'e', '-', 'o', '-', 'm', 'n', 'o', 'e', 'e']",16.0
161,"['-', 'o', 'n', 'e', '-', 'e', 'o', 'm', 'n', 'm', '-', 'e', '-']",10.0
162,"['e', '-', 'e', '-', '-', 'e', 'n', 'n', 'o', 'o', 'm', 'm', '-']",6.0
163,"['e', '-', 'o', 'm', 'n', '-', 'n', '-', 'm', 'e', 'e', '-', 'o']",0.0
164,"['m', 'e', 'm', '-', 'o', 'n', '-', '-', '-', 'e', 'n', 'o', 'e']",12.0
165,"['-', 'm', 'o', 'e', '-', 'n', 'e', 'm', 'e', 'n', '-', '-', 'o']",18.0
166,"['o', 'n', 'e', 'm', 'e', '-', 'o', '-', 'e', '-', 'm', '-', 'n']",2.0
167,"['-', '-', '-', 'm', 'o', 'e', 'm', 'e', '-', 'e', 'n', 'o', 'n']",2.0
168,"['-', 'n', 'm', '-', 'e', 'e', 'm', 'n', '-', '-', 'o', 'e', 'o']",3.0
169,"['m', '-', 'm', '-', 'n', 'e', 'e', '-', '-', 'o', 'o', 'n', 'e']",14.0
170,"['e', 'o', '-', 'm', '-', 'e', 'm', '-', 'o', 'e', 'n', '-', 'n']",4.0
171,"['o', 'e', 'n', '-', 'e', '-', '-', 'e', 'm', 'm', '-', 'o', 'n']",18.0
172,"['-', 'e', '-', 'o', 'm', 'n', '-', 'o', 'n', 'e', 'e', '-', 'm']",0.0
173,"['e', 'e', '-', 'm', 'n', 'o', 'n', 'o', '-', '-', 'm', '-', 'e']",2.0
174,"['n', 'e', 'e', 'n', '-', 'm', '-', '-', 'o', 'm', 'o', 'e', '-']",18.0
175,"['e', 'e', '-', 'o', 'o', 'm', '-', 'n', 'e', 'm', '-', '-', 'n']",0.0
176,"['o', 'o', 'e', '-', '-', '-', 'e', 'n', 'e', 'n', '-', 'm', 'm']",4.0
177,"['m', 'e', '-', '-', 'e', 'n', '-', '-', 'e', 'o', 'n', 'm', 'o']",0.0
178,"['n', 'e', '-', '-', '-', 'm', 'e', 'o', '-', 'm', 'e', 'o', 'n']",8.0
179,"['-', 'o', 'e', 'm', 'n', '-', '-', 'm', 'e', 'o', 'e', '-', 'n']",9.0
180,"['o', '-', 'e', 'n', 'm', 'o', 'e', '-', '-', 'e', '-', 'm', 'n']",18.0
181,"['m', 'e', '-', 'e', 'n', '-', '-', 'o', 'm', 'n', 'o', '-', 'e']",0.0
182,"['o', 'e', 'n', 'm', 'o', 'e', 'e', 'n', '-', '-', '-', 'm', '-']",4.0
183,"['o', '-', 'n', 'e', '-', 'm', '-', '-', 'n', 'e', 'o', 'm', 'e']",21.0
184,"['n', 'o', 'n', 'e', 'm', '-', 'm', 'o', 'e', '-', 'e', '-', '-']",8.0
185,"['-', '-', '-', 'm', 'e', 'o', 'e', 'n', 'o', 'n', 'm', 'e', '-']",20.0
186,"['e', 'e', 'o', 'm', 'n', 'n', 'm', '-', 'o', '-', '-', 'e', '-']",3.0
187,"['e', 'o', 'e', 'o', 'e', '-', '-', '-', '-', 'n', 'm', 'm', 'n']",17.0
188,"['m', 'o', 'n', 'm', '-', 'e', '-', 'e', 'o', '-', '-', 'e', 'n']",27.0
189,"['-', 'n', 'm', '-', 'm', 'e', 'o', 'o', 'e', '-', 'n', 'e', '-']",0.0
190,"['-', 'n', '-', 'e', 'm', 'e', '-', 'o', 'o', 'e', 'n', 'm', '-']",0.0
191,"['o', '-', 'm', 'n', 'e', '-', '-', 'o', 'e', 'e', 'n', 'm', '-']",0.0
192,"['n', 'e', '-', '-', 'm', 'e', 'e', '-', 'o', 'o', '-', 'm', 'n']",16.0
193,"['-', 'o', 'e', 'o', '-', 'm', 'e', '-', 'm', 'n', 'e', '-', 'n']",14.0
194,"['o', '-', 'm', 'm', 'n', 'n', '-', 'e', '-', 'e', 'e', '-', 'o']",5.0
195,"['-', 'o', 'e', 'm', 'n', 'm', 'e', '-', '-', 'e', 'o', '-', 'n']",0.0
196,"['o', 'n', '-', '-', 'm', 'e', '-', 'e', '-', 'm', 'e', 'n', 'o']",0.0
197,"['-', 'o', 'e', 'm', 'm', 'e', '-', '-', '-', 'o', 'e', 'n', 'n']",20.0
198,"['-', 'm', 'n', '-', '-', 'e', 'o', '-', 'o', 'e', 'e', 'm', 'n']",0.0
199,"['m', 'e', '-', '-', 'e', 'm', '-', 'n', '-', 'n', 'o', 'e', 'o']",18.0
200,"['o', 'e', 'o', '-', 'e', '-', 'm', '-', 'e', 'n', 'n', '-', 'm']",0.0
201,"['o', '-', 'e', 'm', 'm', '-', '-', 'e', 'e', 'o', '-', 'n', 'n']",24.0
202,"['m', '-', 'o', 'e', 'n', 'e', 'o', '-', 'n', '-', '-', 'e', 'm']",4.0
203,"['-', '-', '-', 'e', 'o', 'n', 'n', 'm', '-', 'e', 'm', 'o', 'e']",6.0
204,"['n', 'o', 'e', '-', '-', 'm', 'o', 'm', '-', 'e', 'e', '-', 'n']",12.0
205,"['-', 'o', 'e', 'm', 'e', 'o', '-', 'm', 'n', 'n', '-', 'e', '-']",22.0
206,"['n', 'e', 'm', 'm', 'o', '-', 'e', 'o', '-', '-', 'e', 'n', '-']",25.0
207,"['-', '-', 'm', 'n', 'e', 'e', 'n', 'o', '-', '-', 'm', 'e', 'o']",0.0
208,"['-', 'o', 'n', 'e', '-', 'e', 'n', 'm', '-', '-', 'o', 'm', 'e']",30.0
209,"['-', 'o', 'n', 'e', 'm', '-', 'o', 'e', 'm', 'e', 'n', '-', '-']",0.0
210,"['e', '-', 'm', '-', '-', 'm', 'e', '-', 'n', 'n', 'e', 'o', 'o']",8.0
211,"['-', 'm', 'e', 'o', 'n', 'm', 'o', 'e', '-', '-', '-', 'n', 'e']",0.0
212,"['-', '-', 'n', 'e', 'n', 'o', 'm', 'e', '-', 'm', '-', 'o', 'e']",20.0
213,"['n', '-', '-', 'm', 'n', '-', 'o', '-', 'm', 'e', 'e', 'o', 'e']",36.0
214,"['-', '-', '-', 'e', 'e', 'o', 'e', 'n', 'm', '-', 'n', 'o', 'm']",14.0
215,"['n', 'e', '-', 'e', 'n', '-', 'o', 'o', 'e', '-', '-', 'm', 'm']",0.0
216,"['m', 'e', 'n', '-', 'e', 'n', 'e', 'o', 'o', 'm', '-', '-', '-']",0.0
217,"['m', '-', 'e', 'm', 'n', 'o', 'e', '-', 'n', '-', 'e', '-', 'o']",5.0
218,"['e', 'o', 'm', '-', 'o', '-', '-', 'n', 'm', 'e', 'e', 'n', '-']",10.0
219,"['n', 'e', 'e', '-', 'e', 'o', 'm', '-', '-', 'm', 'o', '-', 'n']",0.0
220,"['m', '-', 'o', '-', 'e', 'n', 'e', 'm', '-', '-', 'o', 'e', 'n']",12.0
221,"['-', 'o', 'n', 'm', 'o', '-', '-', 'm', 'n', 'e', 'e', '-', 'e']",13.0
222,"['n', 'm', 'e', '-', 'n', 'e', '-', 'o', 'o', 'e', '-', 'm', '-']",15.0
223,"['m', 'o', 'e', '-', 'n', '-', 'n', 'e', 'o', '-', 'e', '-', 'm']",13.0
224,"['o', 'n', 'e', '-', 'e', 'e', 'm', 'n', 'm', 'o', '-', '-', '-']",0.0
225,"['n', 'e', 'o', 'e', 'm', '-', '-', 'm', '-', '-', 'n', 'o', 'e']",0.0
226,"['e', 'm', '-', 'n', 'e', 'o', 'o', '-', '-', 'n', 'm', 'e', '-']",15.0
227,"['o', 'e', 'e', 'e', 'o', 'n', '-', '-', 'n', 'm', '-', 'm', '-']",17.0
228,"['-', 'o', '-', 'n', '-', 'o', 'm', 'm', 'e', 'n', 'e', '-', 'e']",12.0
229,"['o', 'm', '-', 'm', 'e', 'n', '-', 'o', 'n', '-', 'e', '-', 'e']",4.0
230,"['e', '-', 'e', '-', 'm', 'm', '-', 'n', 'o', 'n', '-', 'o', 'e']",8.0
231,"['m', 'e', 'n', 'n', '-', 'e', 'e', 'o', '-', 'm', 'o', '-', '-']",18.0
232,"['-', 'e', 'm', '-', 'n', 'e', 'n', '-', 'o', 'e', 'm', '-', 'o']",10.0
233,"['-', 'e', '-', '-', 'e', 'o', '-', 'm', 'n', 'n', 'm', 'o', 'e']",20.0
234,"['-', 'o', '-', 'e', 'm', 'o', '-', '-', 'n', 'e', 'm', 'n', 'e']",26.0
235,"['o', '-', '-', 'e', 'e', 'm', 'n', '-', 'o', 'n', 'm', 'e', '-']",0.0
236,"['m', 'm', 'o', 'e', 'e', '-', '-', 'n', '-', 'o', '-', 'n', 'e']",10.0
237,"['-', 'n', 'o', '-', '-', 'e', '-', 'o', 'e', 'n', 'e', 'm', 'm']",0.0
238,"['-', 'n', '-', 'e', '-', 'o', 'm', 'n', 'o', '-', 'm', 'e', 'e']",0.0
239,"['n', '-', 'm', 'o', 'e', '-', '-', '-', 'e', 'e', 'o', 'n', 'm']",8.0
240,"['-', '-', '-', 'o', 'n', 'e', '-', 'e', 'm', 'm', 'e', 'o', 'n']",26.0
241,"['-', 'e', 'o', 'e', 'n', 'm', '-', '-', 'o', '-', 'm', 'n', 'e']",0.0
242,"['e', 'e', 'm', 'o', 'o', '-', 'n', '-', 'n', 'e', '-', 'm', '-']",0.0
243,"['e', 'n', 'e', '-', 'n', 'o', '-', '-', '-', 'm', 'o', 'e', 'm']",0.0
244,"['o', 'n', 'n', '-', '-', 'm', 'e', 'm', 'e', 'e', '-', '-', 'o']",17.0
245,"['o', 'm', 'e', '-', 'e', '-', 'n', 'n', '-', '-', 'e', 'o', 'm']",9.0
246,"['o', '-', 'm', 'e', '-', '-', 'e', 'n', 'n', 'e', 'o', '-', 'm']",6.0
247,"['-', 'm', 'n', 'o', 'm', 'e', 'n', 'o', 'e', '-', 'e', '-', '-']",0.0
248,"['o', 'e', 'm', 'n', 'e', 'n', 'm', '-', '-', 'o', '-', '-', 'e']",8.0
249,"['-', 'e', 'm', '-', 'e', 'm', 'n', 'o', '-', 'n', 'o', '-', 'e']",5.0
250,"['m', 'e', 'n', 'e', '-', 'o', '-', '-', 'e', '-', 'm', 'o', 'n']",13.0
251,"['e', 'n', '-', 'm', 'o', '-', '-', 'm', 'o', 'e', '-', 'n', 'e']",0.0
